,ELCC,latitude,longitude
0,22 ,40.0,-123.125
1,10 ,34.0,-109.375
2,17 ,42.0,-116.875
3,8 ,39.0,-105.625
4,17 ,43.0,-116.875
5,21 ,42.0,-120.625
6,19 ,43.0,-118.125
7,17 ,35.0,-118.125
8,16 ,34.0,-115.625
9,19 ,43.0,-119.375
10,10 ,43.0,-103.125
11,13 ,49.0,-111.875
12,16 ,48.0,-116.875
13,13 ,46.0,-110.625
14,22 ,33.0,-121.875
15,8 ,40.0,-103.125
16,11 ,37.0,-109.375
17,17 ,41.0,-116.875
18,11 ,46.0,-105.625
19,11 ,48.0,-106.875
20,8 ,44.0,-101.875
21,16 ,48.0,-115.625
22,10 ,36.0,-106.875
23,10 ,37.0,-106.875
24,8 ,39.0,-103.125
25,21 ,39.0,-120.625
26,24 ,38.0,-123.125
27,17 ,42.0,-115.625
28,19 ,46.0,-118.125
29,8 ,46.0,-101.875
30,19 ,40.0,-118.125
31,13 ,46.0,-109.375
32,8 ,38.0,-105.625
33,19 ,41.0,-118.125
34,11 ,41.0,-108.125
35,16 ,44.0,-114.375
36,8 ,44.0,-103.125
37,16 ,43.0,-114.375
38,14 ,46.0,-113.125
39,11 ,45.0,-106.875
40,8 ,48.0,-101.875
41,10 ,42.0,-104.375
42,19 ,34.0,-118.125
43,19 ,36.0,-119.375
44,14 ,45.0,-113.125
45,14 ,32.0,-115.625
46,10 ,48.0,-104.375
47,10 ,35.0,-109.375
48,17 ,44.0,-116.875
49,19 ,32.0,-119.375
50,16 ,40.0,-115.625
51,10 ,34.0,-108.125
52,24 ,34.0,-124.375
53,21 ,45.0,-120.625
54,14 ,47.0,-111.875
55,14 ,42.0,-111.875
56,22 ,34.0,-120.625
57,11 ,41.0,-109.375
58,19 ,46.0,-121.875
59,10 ,40.0,-105.625
60,21 ,43.0,-120.625
61,17 ,47.0,-118.125
62,11 ,38.0,-110.625
63,14 ,33.0,-115.625
64,21 ,33.0,-119.375
65,25 ,39.0,-124.375
66,11 ,33.0,-110.625
67,16 ,43.0,-115.625
68,19 ,35.0,-119.375
69,16 ,44.0,-113.125
70,19 ,44.0,-118.125
71,19 ,45.0,-119.375
72,10 ,49.0,-106.875
73,13 ,35.0,-113.125
74,22 ,39.0,-123.125
75,21 ,47.0,-124.375
76,17 ,48.0,-120.625
77,10 ,35.0,-108.125
78,10 ,34.0,-106.875
79,8 ,38.0,-103.125
80,14 ,41.0,-113.125
81,11 ,37.0,-110.625
82,22 ,42.0,-121.875
83,13 ,49.0,-110.625
84,19 ,36.0,-120.625
85,10 ,40.0,-106.875
86,17 ,36.0,-116.875
87,19 ,46.0,-119.375
88,21 ,48.0,-123.125
89,13 ,36.0,-113.125
90,8 ,35.0,-104.375
91,16 ,41.0,-115.625
92,13 ,36.0,-110.625
93,21 ,39.0,-119.375
94,8 ,38.0,-101.875
95,24 ,34.0,-123.125
96,16 ,49.0,-115.625
97,10 ,43.0,-105.625
98,10 ,45.0,-103.125
99,14 ,35.0,-114.375
100,11 ,46.0,-106.875
101,22 ,32.0,-121.875
102,14 ,44.0,-111.875
103,10 ,43.0,-104.375
104,8 ,33.0,-108.125
105,14 ,41.0,-111.875
106,19 ,36.0,-118.125
107,16 ,46.0,-115.625
108,22 ,35.0,-121.875
109,8 ,45.0,-101.875
110,10 ,46.0,-104.375
111,8 ,33.0,-103.125
112,19 ,34.0,-119.375
113,13 ,35.0,-111.875
114,11 ,36.0,-109.375
115,11 ,41.0,-106.875
116,13 ,45.0,-109.375
117,10 ,42.0,-105.625
118,16 ,45.0,-114.375
119,16 ,35.0,-115.625
120,14 ,48.0,-113.125
121,11 ,39.0,-108.125
122,8 ,36.0,-104.375
123,22 ,41.0,-123.125
124,21 ,44.0,-120.625
125,21 ,32.0,-120.625
126,11 ,44.0,-108.125
127,24 ,37.0,-123.125
128,14 ,39.0,-113.125
129,10 ,41.0,-104.375
130,14 ,45.0,-111.875
131,16 ,47.0,-115.625
132,10 ,49.0,-105.625
133,21 ,44.0,-121.875
134,16 ,49.0,-119.375
135,14 ,34.0,-114.375
136,21 ,41.0,-119.375
137,14 ,43.0,-111.875
138,8 ,42.0,-101.875
139,10 ,32.0,-106.875
140,21 ,41.0,-121.875
141,8 ,34.0,-104.375
142,8 ,33.0,-104.375
143,24 ,36.0,-123.125
144,17 ,45.0,-115.625
145,11 ,38.0,-111.875
146,13 ,34.0,-111.875
147,19 ,33.0,-118.125
148,8 ,33.0,-105.625
149,19 ,48.0,-121.875
150,14 ,33.0,-114.375
151,16 ,43.0,-113.125
152,13 ,32.0,-111.875
153,10 ,33.0,-109.375
154,8 ,35.0,-103.125
155,14 ,33.0,-113.125
156,16 ,44.0,-115.625
157,8 ,39.0,-104.375
158,11 ,38.0,-109.375
159,11 ,36.0,-111.875
160,17 ,49.0,-120.625
161,8 ,41.0,-101.875
162,8 ,47.0,-103.125
163,19 ,44.0,-119.375
164,22 ,43.0,-121.875
165,16 ,38.0,-115.625
166,21 ,49.0,-123.125
167,8 ,40.0,-104.375
168,13 ,47.0,-110.625
169,11 ,35.0,-110.625
170,22 ,42.0,-123.125
171,10 ,48.0,-105.625
172,10 ,34.0,-105.625
173,11 ,39.0,-110.625
174,22 ,34.0,-121.875
175,13 ,39.0,-111.875
176,21 ,36.0,-121.875
177,14 ,48.0,-111.875
178,11 ,48.0,-108.125
179,11 ,47.0,-105.625
180,17 ,47.0,-119.375
181,8 ,38.0,-106.875
182,22 ,45.0,-124.375
183,19 ,38.0,-118.125
184,21 ,45.0,-121.875
185,22 ,44.0,-124.375
186,14 ,38.0,-113.125
187,11 ,43.0,-106.875
188,24 ,42.0,-124.375
189,17 ,38.0,-116.875
190,14 ,40.0,-113.125
191,16 ,46.0,-114.375
192,14 ,42.0,-110.625
193,21 ,44.0,-123.125
194,10 ,37.0,-105.625
195,10 ,37.0,-108.125
196,13 ,47.0,-109.375
197,16 ,38.0,-114.375
198,8 ,46.0,-103.125
199,8 ,32.0,-103.125
200,17 ,40.0,-116.875
201,24 ,32.0,-123.125
202,21 ,35.0,-120.625
203,8 ,32.0,-101.875
204,11 ,40.0,-108.125
205,14 ,40.0,-111.875
206,11 ,32.0,-110.625
207,24 ,33.0,-124.375
208,11 ,42.0,-106.875
209,11 ,47.0,-106.875
210,10 ,45.0,-105.625
211,8 ,40.0,-101.875
212,10 ,44.0,-104.375
213,19 ,37.0,-120.625
214,8 ,38.0,-104.375
215,14 ,47.0,-113.125
216,14 ,49.0,-118.125
217,11 ,43.0,-108.125
218,24 ,35.0,-124.375
219,10 ,47.0,-104.375
220,22 ,33.0,-120.625
221,21 ,40.0,-121.875
222,19 ,47.0,-120.625
223,21 ,38.0,-120.625
224,8 ,49.0,-101.875
225,8 ,47.0,-101.875
226,13 ,49.0,-109.375
227,22 ,43.0,-124.375
228,13 ,42.0,-109.375
229,17 ,34.0,-116.875
230,13 ,48.0,-110.625
231,25 ,40.0,-124.375
232,19 ,32.0,-118.125
233,21 ,39.0,-121.875
234,24 ,35.0,-123.125
235,21 ,40.0,-120.625
236,25 ,37.0,-124.375
237,8 ,37.0,-101.875
238,8 ,37.0,-104.375
239,10 ,32.0,-109.375
240,8 ,32.0,-104.375
241,19 ,39.0,-118.125
242,13 ,37.0,-111.875
243,17 ,46.0,-116.875
244,14 ,37.0,-113.125
245,19 ,37.0,-119.375
246,8 ,37.0,-103.125
247,10 ,42.0,-103.125
248,11 ,49.0,-108.125
249,17 ,35.0,-116.875
250,11 ,40.0,-109.375
251,11 ,47.0,-108.125
252,21 ,41.0,-120.625
253,14 ,44.0,-110.625
254,17 ,39.0,-116.875
255,17 ,48.0,-119.375
256,13 ,48.0,-109.375
257,10 ,32.0,-105.625
258,10 ,33.0,-106.875
259,16 ,49.0,-116.875
260,17 ,49.0,-124.375
261,8 ,39.0,-101.875
262,13 ,45.0,-108.125
263,11 ,44.0,-106.875
264,14 ,36.0,-114.375
265,24 ,32.0,-124.375
266,13 ,41.0,-110.625
267,14 ,42.0,-113.125
268,10 ,36.0,-108.125
269,19 ,49.0,-121.875
270,16 ,39.0,-115.625
271,21 ,46.0,-124.375
272,10 ,35.0,-106.875
273,8 ,36.0,-103.125
274,25 ,38.0,-124.375
275,8 ,35.0,-101.875
276,14 ,46.0,-111.875
277,10 ,41.0,-105.625
278,21 ,42.0,-119.375
279,14 ,32.0,-114.375
280,16 ,33.0,-116.875
281,16 ,41.0,-114.375
282,22 ,37.0,-121.875
283,16 ,47.0,-114.375
284,8 ,41.0,-103.125
285,16 ,32.0,-116.875
286,8 ,34.0,-103.125
287,13 ,44.0,-109.375
288,14 ,34.0,-113.125
289,16 ,42.0,-114.375
290,13 ,43.0,-109.375
291,10 ,38.0,-108.125
292,12 ,42.0,-108.125
293,17 ,47.0,-116.875
294,10 ,32.0,-108.125
295,11 ,34.0,-110.625
296,19 ,37.0,-118.125
297,8 ,33.0,-101.875
298,11 ,40.0,-110.625
299,8 ,36.0,-101.875
300,8 ,48.0,-103.125
301,19 ,42.0,-118.125
302,20 ,46.0,-123.125
303,17 ,47.0,-121.875
304,10 ,39.0,-106.875
305,10 ,35.0,-105.625
306,17 ,45.0,-118.125
307,21 ,48.0,-124.375
308,8 ,43.0,-101.875
309,19 ,47.0,-123.125
310,14 ,49.0,-113.125
311,14 ,49.0,-114.375
312,14 ,45.0,-110.625
313,8 ,49.0,-103.125
314,14 ,48.0,-114.375
315,24 ,33.0,-123.125
316,21 ,38.0,-119.375
317,16 ,48.0,-118.125
318,16 ,36.0,-115.625
319,24 ,36.0,-124.375
320,13 ,33.0,-111.875
321,10 ,44.0,-105.625
322,14 ,43.0,-110.625
323,10 ,49.0,-104.375
324,16 ,40.0,-114.375
325,17 ,45.0,-116.875
326,13 ,32.0,-113.125
327,16 ,39.0,-114.375
328,17 ,37.0,-116.875
329,8 ,36.0,-105.625
330,24 ,41.0,-124.375
331,21 ,43.0,-123.125
332,19 ,40.0,-119.375
333,16 ,37.0,-115.625
334,11 ,39.0,-109.375
335,14 ,37.0,-114.375
336,21 ,46.0,-120.625
337,22 ,38.0,-121.875
338,10 ,45.0,-104.375
339,8 ,34.0,-101.875
340,11 ,46.0,-108.125
341,21 ,45.0,-123.125
